"DEVICE NAME","STATUS","CLIENTS","ALERTS","IP ADDRESS","MODEL","SERIAL","MAC","VIRTUAL CONTROLLER","GROUP","LABELS","SITE","FIRMWARE VERSION","UPTIME","LAST SEEN","PUBLIC IP","LLDP NEIGHBOR","LLDP PORT","ZONE","NOTE"
"Santa Cruz - Bloque1_Piso2 - AP2 - SwArP11","Offline","-","0","10.10.60.38","AP-515","CNQ8KD57WC","54:d7:e3:c8:ee:42","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","-","2026-04-18 12:38:25 (-05)","190.15.139.161","SC-Bloque1Piso2-PRINCIPAL","1/1/11","-",""
"Tachina - Patio_2","Online","3","0","172.21.234.45","AP-575","CNVGKV30FL","94:ff:06:c7:c1:82","SetMeUp-CE:6F:5A","WIFI_TACHINA","","","8.10.0.15_91324","4 Days 14 Hours 54 Minutes","-","190.15.138.173","SW-TACHINA-P1-BB-2","1/1/22","-",""
"Tachina - Ingreso","Online","28","0","172.21.235.2","AP-575","CNVGKV30J9","94:ff:06:c7:c1:a4","SetMeUp-CE:6F:5A","PUCESE-T-APS-EXTERIOR","","","8.10.0.15_91324","4 Days 14 Hours 53 Minutes","-","190.15.138.173","SW48GPOETACHINA02","1/1/16","-",""
"Campus Central - Biblioteca 3","Online","13","0","10.10.60.2","AP-515","PHQSLBN0HS","68:28:cf:ce:84:e2","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","42 Days 1 Hours 10 Minutes","-","190.15.139.161","CC-Administrativo-Biblioteca","1/1/15","-",""
"Campus Central - Administrativo - Direccion Estudiantes","Online","16","0","10.10.60.48","AP-515","PHQSLBN0HT","68:28:cf:ce:94:ce","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 18 Hours 42 Minutes","-","190.15.139.161","CC-Administrativo-DirEstudiantes","1/1/6","-",""
"Campus Central - Administrativo - Bar VIP_2","Online","17","0","10.10.60.71","AP-515","PHQSLBN0LH","68:28:cf:ce:75:ce","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","4 Days 12 Hours 43 Minutes","-","190.15.139.161","CC-Administrativo-Biblioteca","1/1/20","-",""
"Campus Central - Administrativo - Direccion AdminisTTHH","Online","14","0","10.10.60.52","AP-515","PHQSLBN0N0","68:28:cf:ce:6c:de","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","54 Days 2 Hours 52 Minutes","-","190.15.139.161","CC-Administrativo-DirAdmTTHH","1/1/7","-",""
"Campus Central - Administrativo - Pasillo Hall Principal Guardias_1","Online","8","0","10.10.60.3","AP-515","PHQSLBN0VH","68:28:cf:ce:74:12","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","54 Days 2 Hours 52 Minutes","-","190.15.139.161","CC-Administrativo-SecretaGeneral","1/1/21","-",""
"Campus Central - Administrativo - Pasillo Hall Principal Guardias","Online","33","0","10.10.60.65","AP-515","PHQSLBN25Y","68:28:cf:ce:93:a2","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","120 Days 19 Hours 47 Minutes","-","190.15.139.161","CC-Administrativo-SecretaGeneral","1/1/23","-",""
"Campus Central - Administrativo - Comunicaciones","Online","11","0","10.10.60.59","AP-515","PHQSLBN2QR","68:28:cf:ce:8b:a6","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","26 Days 23 Hours 06 Minutes","-","190.15.139.161","CC-Administrativo-DirComuCapta","1/1/16","-",""
"Campus Central - Administrativo - Captacion","Online","4","0","10.10.60.45","AP-515","PHQSLBN2QZ","68:28:cf:ce:6d:c0","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","54 Days 2 Hours 52 Minutes","-","190.15.139.161","CC-Administrativo-DirComuCapta","1/1/7","-",""
"Campus Central - Administrativo - Bar VIP_1","Online","29","0","10.10.60.54","AP-515","PHQSLBN2SC","68:28:cf:ce:71:9a","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","2 Days 19 Hours 28 Minutes","-","190.15.139.161","CC-Administrativo-Biblioteca","1/1/17","-",""
"Campus Central - AP Reubicar","Online","32","0","10.10.60.75","AP-515","PHQSLBN2SD","68:28:cf:ce:89:7e","CONTROLADO_APEXT-ESME","PUCESE-AP-EXT-ESMERALDAS","","","8.10.0.13_90226","3 Days 17 Hours 40 Minutes","-","190.15.139.161","SC-Bloque1Piso2-PRINCIPAL","1/1/16","-",""
