"ACCESS POINT","STATUS","RADIO MAC ADDRESS","BAND","BANDWIDTH","CHANNEL","UTILIZATION (%)","POWER (dBm)","NOISE FLOOR (dBm)"
"Santa Cruz - Bloque1_Piso2 - AP2 - SwArP11","Down","54:d7:e3:0e:e4:20","2.4 GHz","-","-","-","-","-"
"Santa Cruz - Bloque1_Piso2 - AP2 - SwArP11","Down","54:d7:e3:0e:e4:30","5 GHz","-","-","-","-","-"
"Tachina - Patio_2","Up","94:ff:06:fc:18:20","2.4 GHz","20 MHz","1","61","6","-98"
"Tachina - Patio_2","Up","94:ff:06:fc:18:30","5 GHz","80 MHz","64","38","18","-90"
"Tachina - Ingreso","Up","94:ff:06:fc:1a:40","2.4 GHz","20 MHz","6","34","9","-96"
"Tachina - Ingreso","Up","94:ff:06:fc:1a:50","5 GHz","80 MHz","52","23","18","-91"
"Campus Central - Biblioteca 3","Up","68:28:cf:68:4e:20","2.4 GHz","20 MHz","11","14","9","-98"
"Campus Central - Biblioteca 3","Up","68:28:cf:68:4e:30","5 GHz","80 MHz","100","14","24","-93"
"Campus Central - Administrativo - Direccion Estudiantes","Up","68:28:cf:69:4c:f0","5 GHz","80 MHz","60","16","24","-94"
"Campus Central - Administrativo - Direccion Estudiantes","Up","68:28:cf:69:4c:e0","2.4 GHz","20 MHz","11","31","9","-98"
"Campus Central - Administrativo - Bar VIP_2","Up","68:28:cf:67:5c:f0","5 GHz","80 MHz","116","6","24","-92"
"Campus Central - Administrativo - Bar VIP_2","Up","68:28:cf:67:5c:e0","2.4 GHz","20 MHz","11","18","9","-98"
"Campus Central - Administrativo - Direccion AdminisTTHH","Up","68:28:cf:66:cd:f0","5 GHz","80 MHz","100","21","24","-93"
"Campus Central - Administrativo - Direccion AdminisTTHH","Up","68:28:cf:66:cd:e0","2.4 GHz","20 MHz","1","21","9","-96"
"Campus Central - Administrativo - Pasillo Hall Principal Guardias_1","Up","68:28:cf:67:41:20","2.4 GHz","20 MHz","11","14","9","-94"
"Campus Central - Administrativo - Pasillo Hall Principal Guardias_1","Up","68:28:cf:67:41:30","5 GHz","80 MHz","128","22","24","-93"
"Campus Central - Administrativo - Pasillo Hall Principal Guardias","Up","68:28:cf:69:3a:20","2.4 GHz","20 MHz","6","18","9","-96"
"Campus Central - Administrativo - Pasillo Hall Principal Guardias","Up","68:28:cf:69:3a:30","5 GHz","80 MHz","161","35","24","-94"
"Campus Central - Administrativo - Comunicaciones","Up","68:28:cf:68:ba:70","5 GHz","80 MHz","149","24","24","-93"
"Campus Central - Administrativo - Comunicaciones","Up","68:28:cf:68:ba:60","2.4 GHz","20 MHz","6","11","9","-98"
"Campus Central - Administrativo - Captacion","Up","68:28:cf:66:dc:10","5 GHz","80 MHz","64","13","24","-96"
"Campus Central - Administrativo - Captacion","Up","68:28:cf:66:dc:00","2.4 GHz","20 MHz","1","27","9","-98"
"Campus Central - Administrativo - Bar VIP_1","Up","68:28:cf:67:19:b0","5 GHz","80 MHz","149","28","24","-93"
"Campus Central - Administrativo - Bar VIP_1","Up","68:28:cf:67:19:a0","2.4 GHz","20 MHz","1","16","9","-98"
"Campus Central - AP Reubicar","Up","68:28:cf:68:97:e0","2.4 GHz","20 MHz","11","27","9","-98"
"Campus Central - AP Reubicar","Up","68:28:cf:68:97:f0","5 GHz","80 MHz","36","14","24","-97"
"Campus Central - Bloque de Aulas - Adquisiciones","Up","68:28:cf:67:ce:00","2.4 GHz","20 MHz","11","28","9","-98"
"Campus Central - Bloque de Aulas - Adquisiciones","Up","68:28:cf:67:ce:10","5 GHz","80 MHz","64","19","24","-95"
"Campus Central - Administrativo - Secretaria General","Up","68:28:cf:68:93:f0","5 GHz","80 MHz","52","5","24","-95"
"Campus Central - Administrativo - Secretaria General","Up","68:28:cf:68:93:e0","2.4 GHz","20 MHz","11","27","9","-98"
"Santa Cruz - Capilla - Bar","Up","68:28:cf:66:f7:30","5 GHz","80 MHz","161","25","24","-92"
"Santa Cruz - Capilla - Bar","Up","68:28:cf:66:f7:20","2.4 GHz","20 MHz","1","40","9","-93"
"Campus Central - Administrativo - Direccion Financiera","Up","68:28:cf:68:08:20","2.4 GHz","20 MHz","1","37","9","-97"
"Campus Central - Administrativo - Direccion Financiera","Up","68:28:cf:68:08:30","5 GHz","80 MHz","44","23","24","-96"
"Campus Central - Administrativo - Pasillo Oficinas Administrativas 2Piso","Up","68:28:cf:67:41:e0","2.4 GHz","20 MHz","11","25","9","-98"
"Campus Central - Administrativo - Pasillo Oficinas Administrativas 2Piso","Up","68:28:cf:67:41:f0","5 GHz","80 MHz","157","19","24","-94"
